nama_perusahaan,komoditas,satuan,tahun,nilai
"Newmont Nusa Tenggara, PT",Silver,kg,2010,17177
"Nusa Halmahera Minerals, PT",Gold,kg,2000,7428
"Nusa Halmahera Minerals, PT",Silver,kg,2000,4349
"Nusa Halmahera Minerals, PT",Gold,kg,2001,8786
"Nusa Halmahera Minerals, PT",Silver,kg,2001,9635
"Nusa Halmahera Minerals, PT",Gold,kg,2002,3846
"Nusa Halmahera Minerals, PT",Silver,kg,2002,7320
"Nusa Halmahera Minerals, PT",Gold,kg,2003,326
"Nusa Halmahera Minerals, PT",Silver,kg,2003,845
"Nusa Halmahera Minerals, PT",Gold,kg,2004,5846
"Nusa Halmahera Minerals, PT",Silver,kg,2004,6883
"Nusa Halmahera Minerals, PT",Gold,kg,2005,5661
"Nusa Halmahera Minerals, PT",Silver,kg,2005,5607
"Nusa Halmahera Minerals, PT",Gold,kg,2006,8665
"Nusa Halmahera Minerals, PT",Silver,kg,2006,9863
"Nusa Halmahera Minerals, PT",Gold,kg,2007,11557
"Nusa Halmahera Minerals, PT",Silver,kg,2007,12905
"Nusa Halmahera Minerals, PT",Gold,kg,2008,13331
"Nusa Halmahera Minerals, PT",Silver,kg,2008,14323
"Nusa Halmahera Minerals, PT",Gold,kg,2009,9785
"Nusa Halmahera Minerals, PT",Silver,kg,2009,9009
"Nusa Halmahera Minerals, PT",Gold,kg,2010,1887
"Nusa Halmahera Minerals, PT",Silver,kg,2010,1200
"Prima Lirang Mining, PT",Gold,kg,2000,
"Prima Lirang Mining, PT",Silver,kg,2000,
"Prima Lirang Mining, PT",Gold,kg,2001,
"Prima Lirang Mining, PT",Silver,kg,2001,
"Prima Lirang Mining, PT",Gold,kg,2002,
"Prima Lirang Mining, PT",Silver,kg,2002,
"Prima Lirang Mining, PT",Gold,kg,2003,
"Prima Lirang Mining, PT",Silver,kg,2003,
"Prima Lirang Mining, PT",Gold,kg,2004,
"Prima Lirang Mining, PT",Silver,kg,2004,
"Prima Lirang Mining, PT",Gold,kg,2005,
"Prima Lirang Mining, PT",Silver,kg,2005,
"Prima Lirang Mining, PT",Gold,kg,2006,
